Farm,Distance,Tetragonula,Mesembrius,Chrysomya,Formicidae,Other_insects,Total,Early fruit set,Harvest fruit set,Fruit_length_mm,Fruit_breadth_mm,FC_major_mm,FC_minor_mm,Weight_g
D1,0,413,2,7,12,43,477,70,11,102.82,83.73,29.00,26.33,425.09
D1,0,419,2,1,48,21,491,54,8,107.80,90.46,30.00,27.30,449.13
D1,0,410,8,4,0,40,462,65,6,102.67,83.66,28.83,26.18,382.20
D1,50,59,4,11,0,34,108,41,3,86.65,75.14,24.82,23.26,287.29
D1,50,34,1,0,0,7,42,27,4,98.99,85.78,27.64,25.68,384.50
D1,50,56,2,0,1,3,62,36,2,100.52,88.03,28.45,26.80,352.00
D1,100,11,3,0,0,7,21,28,4,87.36,77.99,25.26,23.83,284.50
D1,100,114,10,3,0,31,158,53,6,103.59,85.05,28.65,25.69,379.17
D1,100,57,4,0,0,5,66,42,3,84.23,76.60,24.45,23.43,260.33
D1,150,24,10,3,0,10,47,33,4,90.58,78.17,25.46,24.21,284.25
D1,150,72,15,0,1,8,96,38,7,93.51,80.80,26.81,24.66,323.86
D1,150,27,2,0,0,0,29,23,3,94.96,81.55,26.85,24.60,383.50
D1,200,20,8,1,0,12,41,20,3,98.68,89.28,27.98,26.75,354.00
D1,200,26,12,2,3,13,56,19,4,105.72,87.62,29.69,26.75,427.50
D1,200,18,5,1,0,8,32,22,4,104.87,85.33,29.28,26.41,396.00
D2,0,18,11,0,1,32,62,58,3,88.96,86.85,27.15,26.50,326.00
D2,0,18,14,0,1,35,68,60,5,93.75,84.69,26.90,26.55,306.00
D2,0,8,15,1,7,35,66,37,3,108.34,87.58,30.12,27.65,410.67
D2,50,7,17,1,0,15,40,45,3,100.44,92.02,28.95,27.65,419.00
D2,50,13,20,3,0,10,46,39,5,98.93,86.46,28.40,26.86,375.17
D2,50,9,48,5,1,35,98,80,4,94.46,81.52,26.94,24.93,330.80
D2,100,2,10,1,0,9,22,24,1,107.23,84.26,26.83,25.12,361.20
D2,100,0,22,0,0,4,26,20,0,NA,NA,NA,NA,NA
D2,100,0,27,0,0,8,35,18,2,109.47,93.88,30.98,28.35,425.00
D2,150,0,30,0,1,6,37,22,2,96.54,80.58,27.78,25.10,315.50
D2,150,0,39,0,0,8,47,31,3,108.98,89.82,30.30,28.05,401.00
D2,150,0,81,1,0,27,109,25,1,110.22,92.45,31.20,29.10,440.00
D2,200,0,24,0,0,12,36,25,2,108.64,87.75,31.44,28.54,493.25
D2,200,0,43,5,0,16,64,19,2,103.64,88.75,29.63,27.55,416.00
D2,200,0,49,0,0,16,65,14,3,100.60,87.94,28.34,26.69,367.86
D3,0,44,2,0,4,9,59,30,5,100.52,80.97,26.80,23.55,295.00
D3,0,35,4,2,0,20,61,26,4,88.39,79.51,25.83,24.95,309.50
D3,0,61,5,0,9,17,92,39,5,107.24,97.83,30.30,29.33,517.00
D3,50,11,5,1,0,8,25,19,5,98.54,88.01,28.22,26.24,388.33
D3,50,7,5,2,0,6,20,17,3,105.90,91.64,30.50,27.92,420.00
D3,50,9,7,0,0,10,26,21,3,98.13,88.61,28.40,26.55,366.00
D3,100,1,0,0,1,3,5,14,2,88.77,74.98,27.62,25.50,314.33
D3,100,0,0,0,0,0,0,14,2,103.33,87.24,29.38,26.98,384.00
D3,100,1,0,1,0,3,5,2,4,95.49,84.64,27.58,26.47,349.83
D3,150,0,0,0,0,3,3,18,3,118.60,98.33,33.13,30.23,552.00
D3,150,0,1,0,0,3,4,14,4,101.83,90.93,30.08,27.98,463.25
D3,150,0,0,0,0,0,0,13,2,107.80,95.53,31.05,28.93,478.00
D3,200,2,1,0,0,3,6,19,3,97.76,86.48,28.32,26.40,369.00
D3,200,1,0,0,0,0,1,21,2,97.28,85.22,28.22,24.30,342.00
D3,200,0,0,0,0,1,1,23,1,98.29,85.47,24.12,24.60,357.00
D4,0,31,7,0,15,7,60,26,5,90.39,79.26,25.86,24.72,322.40
D4,0,44,7,0,2,33,86,33,5,107.53,90.43,29.63,28.03,457.00
D4,0,27,3,0,5,18,53,19,4,90.13,79.00,26.55,24.50,340.00
D4,50,30,3,0,7,1,41,42,0,NA,NA,NA,NA,NA
D4,50,19,0,0,0,7,26,12,3,93.53,79.04,25.95,23.67,316.33
D4,50,3,1,0,0,3,7,11,2,96.09,83.53,27.50,25.70,367.00
D4,100,7,1,0,0,3,11,4,2,101.31,89.73,28.63,27.80,399.00
D4,100,37,5,0,6,3,51,21,4,104.42,91.69,29.10,27.80,417.00
D4,100,11,8,1,0,10,30,14,2,97.91,81.47,27.68,24.88,323.00
D4,150,21,1,0,1,6,29,16,3,104.34,87.24,28.86,26.24,424.25
D4,150,38,3,0,1,2,44,32,5,95.51,82.37,27.20,25.10,336.00
D4,150,5,7,1,0,1,14,9,5,94.04,75.56,25.85,23.09,265.60
D4,200,29,0,0,0,1,30,20,4,110.72,91.76,30.71,27.98,482.50
D4,200,6,1,0,0,0,7,23,2,96.35,82.01,28.30,25.33,352.50
D4,200,3,3,0,0,0,6,2,0,NA,NA,NA,NA,NA
D5,0,0,7,2,5,208,222,45,2,110.11,90.63,29.85,26.98,396.50
D5,0,0,9,2,58,81,150,76,4,106.43,84.70,28.85,26.01,408.50
D5,0,0,5,2,0,229,236,80,0,NA,NA,NA,NA,NA
D5,50,0,27,2,0,46,75,67,1,131.24,95.85,34.65,29.30,546.00
D5,50,0,76,25,0,28,129,51,6,116.40,89.12,31.99,27.77,495.43
D5,50,0,57,7,0,77,141,53,4,115.38,89.14,31.00,27.23,475.25
D5,100,0,41,5,0,18,64,70,2,114.43,90.17,30.23,26.35,439.00
D5,100,0,31,12,0,18,61,51,5,106.99,88.41,29.77,26.50,441.00
D5,100,0,46,3,5,25,79,21,5,103.24,85.24,28.38,25.56,378.80
D6,0,0,3,0,0,7,10,21,1,68.43,63.60,19.90,19.35,190.00
D6,0,0,6,0,0,4,10,13,2,125.60,93.77,34.68,29.35,596.50
D6,0,1,6,0,0,9,16,6,0,NA,NA,NA,NA,NA
D6,50,0,2,0,0,1,3,16,2,110.42,88.39,30.75,28.03,433.50
D6,50,0,7,0,0,3,10,19,1,105.94,91.41,30.23,27.68,464.00
D6,50,0,1,0,0,2,3,14,1,111.75,89.20,31.10,27.90,461.00
D6,100,0,0,0,0,0,0,22,3,100.01,83.77,28.06,25.43,382.00
D6,100,0,0,0,0,2,2,13,1,130.08,100.37,35.95,32.90,654.00
D6,100,0,0,0,0,0,0,9,0,NA,NA,NA,NA,NA
D6,150,0,1,0,0,3,4,0,0,NA,NA,NA,NA,NA
D6,150,0,2,0,0,1,3,11,0,NA,NA,NA,NA,NA
D6,150,0,0,0,1,0,1,10,0,NA,NA,NA,NA,NA
D6,200,0,0,0,0,1,1,2,0,NA,NA,NA,NA,NA
D6,200,0,0,0,0,0,0,7,0,NA,NA,NA,NA,NA
D6,200,0,0,0,0,1,1,9,0,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
