Region,Farm,Survey,Distance,Time,Temp,RH,Wind,Anisoptera sp,Chrysomya_spp,Chrysoperla_sp,Culicidae_spp,Diptera fly sp5,Diptera fly sp7,Formicidae sp5,Formicidae sp6,Hemiptera bug sp,Hesperidae sp3,Hymenoptera wasp sp4,Lepidoptera moth sp10,Lepidoptera moth sp11,Lepidoptera moth sp12,Lepidoptera moth sp13,Lepidoptera moth sp14,Lepidoptera moth sp15,Lepidoptera moth sp16,Lepidoptera moth sp17,Lepidoptera moth sp18,Lepidoptera moth sp19,Lepidoptera moth sp20,Lepidoptera moth sp21,Lepidoptera moth sp22,Lepidoptera moth sp23,Lepidoptera moth sp24,Lepidoptera moth sp25,Lepidoptera moth sp4,Lepidoptera moth sp26,Lepidoptera moth sp27,Lepidoptera moth sp5,Lepidoptera moth sp6,Lepidoptera moth sp7,Lepidoptera moth sp8,Lepidoptera moth sp9,Utethesia_pulchelloides,Zygoptera sp,Total
Darwin,D1,Nocturnal,0,21:01-00:00,21.2,55,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,5
Darwin,D1,Nocturnal,0,21:01-00:00,18.7,69,0.0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Darwin,D1,Nocturnal,0,21:01-00:00,16.4,73,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Darwin,D1,Nocturnal,50,21:01-00:00,18.0,67,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Darwin,D1,Nocturnal,50,21:01-00:00,18.9,64,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darwin,D1,Nocturnal,50,21:01-00:00,16.7,73,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darwin,D1,Nocturnal,100,21:01-00:00,17.6,71,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,D1,Nocturnal,100,21:01-00:00,20.0,61,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Darwin,D1,Nocturnal,100,21:01-00:00,16.5,75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Darwin,D1,Nocturnal,150,21:01-00:00,19.0,65,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
